month,revenue_tm0,revenue_tm1,streams_tm0,streams_tm1,streams_tm2,facebook_likes,facebook_talks,instagram_followers,spotify_followers,spotify_listeners,spotify_popularity,wikipedia_views,youtube_comments,youtube_subscribers,youtube_videos,youtube_views
2/1/18,1643.852276,1841.73807,422062,483845,359878,827238,0,0,320101,0,66,1361,0,2855,639,583523
10/1/18,164518.0891,153199.8573,48112721,41901971,44952553,5856512,28040,644892,2275320,6331321,75,1207,0,0,0,0
10/1/17,4564.546341,4424.161158,2463944,2379838,2466574,190912,0,0,191530,0,66,1073,11,4507,42,2105004
8/1/16,3021.331794,3284.940427,1303036,1346481,1270445,3638672,0,0,0,0,0,303,2258,119016,641,26740842
11/1/16,2609.686929,2853.919663,1422139,1461779,1344853,3627456,0,0,184665,0,53,349,2256,122158,645,27927370
2/1/17,2653.322433,2832.588476,1177797,1489722,1512066,3614882,0,0,191119,0,57,350,2256,125852,659,29290822
5/1/17,2793.354237,2785.763927,1213811,1184040,1192056,3607458,0,204408,198508,0,53,299,2256,131121,666,31165207
3/1/18,3275.470124,2928.402515,4274876,3529958,2608570,3595190,20530,238985,226738,498289,55,299,2256,152015,729,40573317
9/1/18,3397.783191,3622.838491,2814284,3351551,2634331,3551566,16919,271450,242999,500337,54,279,0,163534,741,45592013
11/1/16,104153.6783,111826.3082,27652342,30081386,23263662,3980384,0,0,334847,0,65,804,534,0,20,221669320
1/1/17,119718.5833,109483.5638,30382154,28422963,27652342,3970409,0,0,365878,0,66,844,534,0,20,234100328
3/1/18,168770.8999,141324.5723,41556596,35821394,39297852,3919693,27299,0,782185,2268609,69,1674,534,0,21,317769592
10/1/18,178744.9539,171938.8967,44575638,42750021,46581084,3883689,7318,238523,1081183,2778236,70,1315,0,0,27,386787346
7/1/16,71948.14507,71414.08561,18113170,16090820,17497962,0,0,0,0,0,0,2030,0,90756,178,30191758
8/1/16,68192.23167,71948.14507,16795846,18113170,16090820,0,0,0,0,0,0,2271,0,91239,178,30434342
9/1/16,75236.85374,68192.23167,20193227,16795846,18113170,0,0,0,0,0,0,2729,0,91803,178,30737419
10/1/16,91392.72835,75236.85374,25381191,20193227,16795846,0,0,0,0,0,0,2730,0,92656,178,31080179
2/1/17,78909.69293,89538.00399,28105985,26179421,40709647,0,0,0,377385,0,69,2642,0,95353,178,32410079
4/1/17,85801.53197,85323.8618,28811572,41935463,28105985,0,0,216729,394733,0,63,2516,0,96183,178,32925511
